Código Fonte,Origem,Aplicação,Desdobramento,Detalhamento,Descrição da Fonte,Código STN,Descrição STN
999,01,99,00,00,Reservas de Contingências (Outros),799,Outras Vinculações Legais
1000,06,05,00,00,Recursos de Contratos de Rateio dos Consórcios - Pessoal e Encargos Sociais,880,Recursos Próprios dos Consórcios
1001,06,05,00,00,Recursos de Contratos de Rateio dos Consórcios - Juros e Encargos da Dívida,880,Recursos Próprios dos Consórcios
1002,06,05,00,00,Recursos de Contratos de Rateio dos Consórcios - Outras Despesas Correntes,880,Recursos Próprios dos Consórcios
1003,06,05,00,00,Recursos de Contratos de Rateio dos Consórcios - Investimentos,880,Recursos Próprios dos Consórcios
1004,06,05,00,00,Recursos de Contratos de Rateio dos Consórcios - Inversões Financeiras,880,Recursos Próprios dos Consórcios
1005,03,01,01,01,Transferências Voluntárias Públicas Estaduais (Educação),571,Transferências do Estado referentes a Convênios e Instrumentos Congêneres vinculados à Educação
1005,03,02,01,01,Transferências Voluntárias Públicas Estaduais (Saúde),632,Transferências do Estado referentes a Convênios e Instrumentos Congêneres vinculados à Saúde
1005,03,04,01,01,Transferências Voluntárias Públicas Estaduais (Assistência Social),665,Transferências de Convênios e Instrumentos Congêneres vinculados à Assistência Social
1005,03,05,01,01,Transferências Voluntárias Públicas Estaduais (Outros),701,Outras Transferências de Convênios ou Instrumentos Congêneres dos Estados
1006,03,01,01,02,Transferências Voluntárias Públicas Federais (Educação),570,Transferências do Governo Federal referentes a Convênios e Instrumentos Congêneres vinculados à Educação
1006,03,02,01,02,Transferências Voluntárias Públicas Federais (Saúde),631,Transferências do Governo Federal referentes a Convênios e Instrumentos Congêneres vinculados à Saúde
1006,03,04,01,02,Transferências Voluntárias Públicas Federais (Assistência Social),665,Transferências de Convênios e Instrumentos Congêneres vinculados à Assistência Social
1006,03,05,01,02,Transferências Voluntárias Públicas Federais (Outros),700,Outras Transferências de Convênios ou Instrumentos Congêneres da União
1007,03,01,01,03,Outras Transferências Voluntárias Públicas (Educação),572,Transferências de Municípios referentes a Convênios e Instrumentos Congêneres vinculados à Educação
1007,03,02,01,03,Outras Transferências Voluntárias Públicas (Saúde),633,Transferências de Municípios referentes a Convênios Instrumentos Congêneres vinculados à Saúde
1007,03,04,01,03,Outras Transferências Voluntárias Públicas (Assistência Social),665,Transferências de Convênios e Instrumentos Congêneres vinculados à Assistência Social
1008,03,01,02,12,Transferências Voluntárias Privadas Internas (Educação),575,Outras Transferências de Convênios e Instrumentos Congêneres vinculados à Educação
1008,03,02,02,12,Transferências Voluntárias Privadas Internas (Saúde),636,Outras Transferências de Convênios e Instrumentos Congêneres vinculados à Saúde
1008,03,04,02,12,Transferências Voluntárias Privadas Internas (Assistência Social),665,Transferências de Convênios e Instrumentos Congêneres vinculados à Assistência Social
1009,05,01,03,15,Operações de Crédito Internas - Contratos (Educação),574,Operações de Crédito Vinculadas à Educação
